Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
2478,Belmont,MA,Boston,Middlesex,3479,438
2481,Wellesley,MA,Boston,Norfolk,5597,479
2482,Wellesley,MA,Boston,Norfolk,7306,472
2492,Needham,MA,Boston,Norfolk,5738,398
2493,Weston,MA,Boston,Middlesex,6552,455
2494,Needham,MA,Boston,Norfolk,7861,396
2532,Town of Bourne,MA,Cape Cod,Barnstable,6919,214
2535,Chilmark,MA,"Vineyard Haven, MA",Dukes,11507,842
2536,East Falmouth,MA,Cape Cod,Barnstable,4306,230
2537,East Sandwich,MA,Cape Cod,Barnstable,8586,210
2538,White Island Shores,MA,Boston,Plymouth,10709,215
2539,Edgartown,MA,"Vineyard Haven, MA",Dukes,10854,471
2540,Town of Falmouth,MA,Cape Cod,Barnstable,8167,297
2543,Woods Hole,MA,Cape Cod,Barnstable,12361,445
2556,North Falmouth,MA,Cape Cod,Barnstable,10151,277
2557,Vineyard Haven,MA,"Vineyard Haven, MA",Dukes,12694,379
2559,Pocasset,MA,Cape Cod,Barnstable,10076,237
2562,Sagamore Beach,MA,Cape Cod,Barnstable,9878,198
2563,Town of Sandwich,MA,Cape Cod,Barnstable,8070,193
2568,Vineyard Haven,MA,"Vineyard Haven, MA",Dukes,7818,367
2571,Wareham,MA,Boston,Plymouth,7510,205
2575,Vineyard Haven,MA,"Vineyard Haven, MA",Dukes,12757,428
2576,Wareham,MA,Boston,Plymouth,10246,190
2601,Barnstable,MA,Cape Cod,Barnstable,5662,206
2630,Barnstable,MA,Cape Cod,Barnstable,12398,274
2631,Town of Brewster,MA,Cape Cod,Barnstable,7585,251
2632,Barnstable,MA,Cape Cod,Barnstable,6952,217
2633,Chatham,MA,Cape Cod,Barnstable,10363,385
2635,Barnstable,MA,Cape Cod,Barnstable,10683,242
2638,Dennis,MA,Cape Cod,Barnstable,10045,294
2639,Dennis,MA,Cape Cod,Barnstable,10556,275
2642,Eastham,MA,Cape Cod,Barnstable,8751,287
2644,Forestdale,MA,Cape Cod,Barnstable,9327,183
2645,Harwich,MA,Cape Cod,Barnstable,7149,239
2646,Harwich Port,MA,Cape Cod,Barnstable,10810,322
2648,Barnstable,MA,Cape Cod,Barnstable,9645,216
